age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
34.0,2.26,0.8,7.03,5.46,73.0,100.0,Low,66.71
29.0,8.04,4.56,1.24,4.24,,77.53,Medium,0.0
21.0,8.6,7.74,6.89,8.51,61.0,100.0,High,47.42
26.0,8.88,7.11,2.64,6.42,249.0,77.29,High,11.0
22.0,3.2,2.68,2.95,5.4,249.0,100.0,Medium,19.43
29.0,11.39,9.04,0.31,7.58,201.0,79.51,High,0.0
17.0,3.81,1.38,2.62,8.43,160.0,100.0,Low,62.43
28.0,8.23,3.59,7.11,4.0,101.0,100.0,Medium,52.02
31.0,4.23,1.28,0.2,7.44,186.0,100.0,Low,18.09
18.0,5.07,,3.25,7.84,73.0,100.0,Medium,35.58
32.0,7.46,2.72,0.25,5.05,92.0,97.64,Medium,9.46
22.0,6.17,3.6,2.97,6.45,232.0,91.85,Medium,11.86
18.0,3.6,2.54,1.38,4.45,190.0,94.42,Medium,20.55
16.0,,3.06,2.02,7.73,289.0,95.9,Medium,13.22
20.0,6.18,4.63,7.02,8.24,238.0,100.0,Medium,59.65
36.0,9.57,8.26,3.49,4.54,155.0,87.1,High,0.0
24.0,10.98,3.65,2.19,8.08,54.0,100.0,Medium,28.65
18.0,2.84,0.87,4.71,7.86,165.0,100.0,Low,85.26
36.0,5.93,4.13,1.14,5.73,202.0,95.81,Medium,0.0
32.0,3.0,1.42,2.08,7.45,97.0,100.0,Low,33.97
26.0,2.17,0.98,4.37,4.0,272.0,100.0,Low,47.52
16.0,8.62,4.3,1.9,8.66,255.0,100.0,Medium,19.59
24.0,8.02,3.7,5.43,6.75,96.0,100.0,Medium,62.35
18.0,3.63,2.2,3.93,7.1,92.0,100.0,,41.29
28.0,4.34,2.45,6.18,7.32,46.0,100.0,Medium,79.8
30.0,2.24,1.36,7.59,6.81,57.0,100.0,Low,100.0
29.0,10.35,7.28,0.93,8.28,273.0,,High,0.0
22.0,11.75,6.25,2.68,7.05,105.0,100.0,High,10.81
28.0,3.35,1.51,2.56,8.54,50.0,100.0,Low,44.55
37.0,4.31,1.72,1.21,,224.0,100.0,Low,37.12
39.0,10.68,5.44,6.48,4.86,212.0,100.0,High,56.14
22.0,11.26,8.39,6.08,8.57,249.0,91.34,High,17.15
35.0,6.2,4.67,3.88,7.41,200.0,94.81,Medium,35.41
30.0,2.51,1.76,4.3,7.5,264.0,100.0,Low,62.07
27.0,2.39,1.05,0.48,8.93,59.0,100.0,Low,40.62
32.0,7.74,5.05,4.44,4.38,176.0,96.66,High,18.36
29.0,5.93,3.81,6.33,6.14,187.0,,Medium,52.2
35.0,2.29,1.35,4.59,5.2,177.0,100.0,Low,40.13
38.0,7.83,4.93,2.12,7.15,149.0,98.21,Medium,11.42
39.0,2.11,1.26,5.34,8.03,101.0,100.0,Low,89.08
27.0,9.87,6.31,2.89,8.83,175.0,94.27,High,28.36
23.0,5.06,3.69,4.36,6.27,194.0,100.0,Medium,
29.0,2.4,0.88,3.9,7.93,107.0,100.0,Low,58.51
27.0,7.88,5.91,3.05,8.59,121.0,100.0,High,9.73
15.0,5.98,2.28,,7.42,267.0,100.0,Medium,62.17
39.0,11.74,3.99,7.07,5.21,225.0,100.0,Medium,38.98
21.0,7.44,6.59,,7.04,108.0,85.53,High,
23.0,4.75,4.15,7.47,8.85,115.0,100.0,Medium,68.85
38.0,9.09,3.06,4.09,8.94,178.0,100.0,Medium,58.9
15.0,4.71,2.67,5.61,7.21,133.0,100.0,Medium,50.42
26.0,11.04,4.55,6.84,8.43,43.0,100.0,Medium,76.15
22.0,5.75,3.4,3.74,5.0,182.0,97.4,Medium,21.47
38.0,7.5,5.99,6.68,5.23,74.0,100.0,High,54.84
25.0,2.51,2.18,1.42,8.76,83.0,100.0,Medium,32.06
33.0,6.26,4.26,1.27,4.68,52.0,100.0,Medium,0.0
31.0,10.32,5.29,5.26,4.96,65.0,100.0,High,25.63
22.0,10.06,6.66,6.96,6.1,238.0,97.58,High,32.39
17.0,4.24,2.07,7.14,6.95,215.0,100.0,Medium,84.02
17.0,4.26,3.6,5.15,7.02,272.0,100.0,Medium,52.51
,10.17,8.36,4.2,5.46,255.0,81.79,High,0.0
19.0,11.3,7.17,2.65,8.6,,98.2,High,0.0
24.0,2.95,1.46,7.84,8.58,111.0,100.0,,100.0
21.0,6.5,3.09,2.56,5.96,115.0,100.0,Medium,15.13
23.0,5.37,1.72,5.95,6.17,247.0,100.0,Low,58.3
21.0,10.71,8.46,4.26,7.51,254.0,80.78,High,0.0
23.0,2.84,1.62,4.87,7.31,121.0,,Low,76.41
22.0,4.11,2.03,3.15,5.91,271.0,100.0,Medium,25.29
26.0,9.52,5.55,7.72,6.07,159.0,100.0,High,62.06
16.0,2.51,1.99,4.57,5.74,162.0,100.0,Low,27.93
15.0,6.93,2.6,7.5,5.18,259.0,100.0,Medium,77.39
30.0,6.42,5.23,0.06,6.29,285.0,76.03,High,0.0
37.0,5.34,4.48,4.58,7.43,80.0,100.0,Medium,50.79
37.0,5.95,5.16,5.74,7.71,42.0,100.0,High,52.91
38.0,7.3,3.93,5.96,7.89,30.0,100.0,Medium,59.75
19.0,3.61,1.55,7.24,5.87,35.0,100.0,Low,78.89
17.0,7.72,4.05,0.04,7.82,68.0,100.0,Medium,0.0
26.0,10.05,5.02,0.0,4.03,189.0,75.29,High,0.0
22.0,9.6,3.89,3.78,6.39,138.0,97.3,Medium,43.84
36.0,3.54,2.35,0.23,7.97,61.0,100.0,Medium,20.31
17.0,3.49,2.05,7.8,7.15,29.0,100.0,Medium,100.0
15.0,4.68,3.83,1.78,6.37,68.0,100.0,Medium,47.4
17.0,5.61,1.79,3.78,7.22,284.0,100.0,Low,67.59
19.0,6.08,4.17,0.49,8.53,226.0,95.64,Medium,7.25
29.0,8.8,6.67,4.18,6.83,186.0,91.39,High,11.41
28.0,2.57,1.94,3.04,8.0,21.0,100.0,Low,62.58
17.0,2.35,1.95,0.36,8.9,87.0,,Low,38.21
15.0,5.92,4.37,2.68,7.53,229.0,100.0,Medium,28.0
19.0,8.97,7.68,3.13,6.87,158.0,97.4,,14.22
37.0,3.93,1.96,7.92,4.19,56.0,100.0,Low,73.35
28.0,8.42,5.07,1.66,5.87,237.0,87.44,High,1.14
21.0,4.6,1.42,4.36,6.83,297.0,100.0,Low,57.11
23.0,10.86,3.3,7.9,7.99,199.0,100.0,Medium,93.4
29.0,10.96,4.87,6.34,6.19,24.0,100.0,Medium,50.06
29.0,4.97,1.79,7.95,8.8,149.0,100.0,Low,100.0
24.0,4.3,1.96,7.75,5.36,152.0,100.0,Low,66.18
27.0,6.11,2.48,3.92,7.72,118.0,100.0,Medium,54.22
33.0,4.41,1.4,5.57,6.1,179.0,100.0,Low,86.75
21.0,8.72,7.37,0.88,6.43,255.0,78.44,High,0.0
31.0,10.26,3.13,3.53,8.01,166.0,100.0,Medium,44.31
34.0,8.73,6.47,6.47,5.48,134.0,100.0,High,47.01
18.0,10.24,4.01,4.04,4.48,23.0,100.0,Medium,34.74
19.0,5.97,5.06,5.62,6.6,106.0,100.0,High,28.43
37.0,3.56,2.98,5.97,6.64,65.0,100.0,Medium,65.71
21.0,9.38,6.49,2.03,7.99,102.0,95.62,High,9.1
27.0,5.6,3.94,7.01,8.84,173.0,100.0,Medium,91.26
29.0,8.71,2.64,3.68,4.28,130.0,100.0,Medium,44.97
25.0,4.71,4.2,1.68,6.96,136.0,98.23,Medium,13.28
18.0,2.81,2.32,6.92,7.41,116.0,100.0,Medium,90.56
27.0,11.93,9.99,3.34,8.93,208.0,85.75,High,0.0
21.0,3.56,2.48,6.0,8.71,107.0,100.0,Medium,75.47
33.0,11.88,6.02,4.38,7.56,106.0,100.0,High,41.22
36.0,11.77,9.84,3.05,6.61,45.0,80.82,High,0.0
16.0,9.94,4.72,6.48,4.81,50.0,100.0,Medium,52.28
24.0,8.59,5.48,4.68,5.92,145.0,100.0,High,21.68
27.0,7.78,2.8,3.12,6.93,217.0,100.0,Medium,36.67
39.0,10.66,9.09,0.88,7.63,50.0,76.81,High,0.0
35.0,4.89,1.88,7.16,7.18,251.0,100.0,Low,94.15
20.0,6.68,2.91,0.28,7.57,64.0,100.0,Medium,12.4
26.0,8.19,5.2,6.91,6.15,208.0,100.0,High,52.29
26.0,6.11,4.63,2.88,7.64,71.0,100.0,Medium,29.7
34.0,6.27,4.21,5.11,4.72,71.0,100.0,Medium,36.19
25.0,5.3,2.33,7.38,4.81,98.0,100.0,Medium,78.83
37.0,7.64,2.3,1.21,4.81,68.0,100.0,Medium,16.82
39.0,10.51,7.93,4.54,8.45,249.0,86.69,High,8.58
21.0,4.02,3.58,,4.38,63.0,100.0,Medium,47.01
15.0,11.34,8.91,6.06,8.01,266.0,93.23,High,7.31
15.0,8.89,5.12,4.21,5.17,,98.45,High,12.46
39.0,10.23,8.62,5.0,6.34,41.0,100.0,High,25.78
39.0,7.56,4.13,6.06,,149.0,100.0,Medium,72.61
34.0,9.8,6.03,6.73,6.93,26.0,100.0,High,44.9
27.0,2.16,1.27,6.09,5.05,291.0,100.0,Low,65.34
23.0,10.18,5.79,2.83,5.42,63.0,87.06,High,0.0
17.0,2.4,1.84,7.97,8.6,,100.0,Low,100.0
21.0,10.9,6.72,3.48,6.14,84.0,96.54,High,11.74
20.0,11.92,5.84,0.2,6.93,265.0,75.6,High,0.0
22.0,4.94,2.25,2.9,6.3,92.0,100.0,,36.58
23.0,4.1,1.32,1.02,5.89,90.0,100.0,Low,36.4
19.0,9.65,6.27,0.97,5.12,216.0,73.4,High,0.0
15.0,4.53,1.98,2.25,7.43,208.0,100.0,Low,31.64
33.0,10.66,4.15,0.43,7.59,177.0,90.94,Medium,0.0
24.0,,2.1,5.51,5.37,44.0,100.0,Medium,71.85
26.0,3.26,2.31,0.59,7.95,90.0,100.0,Medium,19.04
38.0,11.79,8.86,,8.27,242.0,77.07,High,0.0
29.0,8.74,5.26,0.74,8.6,179.0,95.76,High,
36.0,10.47,8.76,0.51,4.81,94.0,71.36,High,0.0
38.0,5.24,4.52,2.14,5.52,157.0,96.78,Medium,0.0
23.0,8.76,6.87,4.58,8.3,60.0,100.0,High,42.93
34.0,7.94,5.41,7.72,4.99,35.0,100.0,High,57.74
31.0,8.03,3.87,7.0,4.02,208.0,100.0,Medium,52.96
31.0,8.83,7.86,7.01,8.35,47.0,100.0,High,
34.0,7.75,3.6,1.41,5.63,182.0,89.79,Medium,14.24
26.0,6.29,,2.12,6.07,74.0,100.0,Medium,38.51
21.0,4.76,2.69,0.61,6.23,293.0,85.99,Medium,21.99
16.0,9.69,3.24,6.23,8.24,121.0,100.0,Medium,76.81
17.0,4.26,3.78,0.56,5.69,61.0,96.82,Medium,0.0
31.0,8.92,5.83,4.45,8.46,282.0,93.21,High,49.57
19.0,4.33,2.75,1.98,7.08,190.0,100.0,Medium,22.97
31.0,8.25,5.72,1.95,6.64,227.0,85.9,High,0.0
38.0,9.47,5.67,7.93,5.63,68.0,100.0,High,62.94
31.0,4.19,1.34,6.05,5.22,79.0,100.0,Low,63.87
31.0,2.6,1.74,6.7,7.12,25.0,100.0,Low,82.94
16.0,3.31,2.42,4.58,6.23,167.0,100.0,Medium,58.85
16.0,8.06,4.43,6.97,8.55,230.0,100.0,Medium,98.84
36.0,10.49,7.91,5.16,6.46,,90.07,High,21.2
37.0,2.45,1.07,7.57,6.56,104.0,100.0,Low,100.0
19.0,9.34,4.04,2.25,6.08,179.0,92.22,Medium,10.14
15.0,5.41,2.15,4.76,7.95,66.0,100.0,Medium,70.84
15.0,6.79,3.55,5.52,6.12,181.0,100.0,Medium,32.79
33.0,11.29,9.12,3.14,5.35,174.0,70.11,High,0.0
16.0,5.32,4.24,7.04,8.31,249.0,100.0,Medium,72.12
35.0,6.65,3.52,7.84,,177.0,100.0,Medium,83.37
26.0,2.14,1.4,3.95,,180.0,100.0,Low,66.15
20.0,2.82,2.07,3.13,7.05,266.0,,Medium,40.11
37.0,4.59,2.04,3.78,7.59,75.0,100.0,Medium,72.27
18.0,2.28,0.91,6.82,5.57,170.0,100.0,Low,89.17
37.0,8.31,7.34,5.16,4.17,73.0,87.29,High,0.0
25.0,6.26,4.2,0.36,8.05,242.0,88.11,Medium,0.0
38.0,7.48,6.65,4.34,4.64,273.0,88.47,High,6.5
31.0,3.75,1.88,0.14,7.61,87.0,100.0,Low,19.43
20.0,4.96,3.58,6.23,4.41,72.0,100.0,Medium,55.77
38.0,8.64,3.75,2.63,5.88,264.0,96.7,Medium,14.42
19.0,11.65,,3.78,4.32,59.0,92.54,High,9.07
34.0,2.5,1.52,6.39,6.61,157.0,100.0,Low,72.73
16.0,10.9,5.36,0.37,7.27,285.0,74.45,High,0.0
20.0,7.77,3.11,1.27,4.86,157.0,97.65,Medium,15.81
36.0,,3.5,3.18,5.86,229.0,99.05,Medium,15.47
25.0,7.0,2.25,1.84,8.65,191.0,100.0,Medium,36.53
30.0,2.69,1.94,2.7,6.21,204.0,100.0,Low,50.66
30.0,2.9,1.73,7.99,8.01,259.0,100.0,Low,80.93
15.0,8.01,2.86,6.6,8.64,230.0,100.0,Medium,85.85
23.0,5.41,2.18,7.07,8.87,170.0,100.0,Medium,90.43
20.0,11.17,4.04,7.5,8.49,143.0,,Medium,73.04
30.0,6.07,4.05,2.73,5.59,68.0,100.0,Medium,15.27
17.0,3.43,1.22,2.38,8.81,143.0,100.0,Low,64.13
34.0,9.15,6.89,1.87,8.06,87.0,88.42,High,0.0
18.0,4.93,1.54,6.64,8.19,250.0,100.0,Low,76.77
33.0,7.25,3.26,5.44,4.08,28.0,100.0,Medium,39.21
17.0,8.98,7.49,1.89,8.77,,80.23,High,0.0
33.0,11.0,8.04,3.02,7.89,144.0,90.89,High,9.69
34.0,9.92,3.41,4.05,7.84,131.0,100.0,Medium,43.46
21.0,8.76,6.94,4.23,4.41,73.0,81.48,High,6.39
34.0,8.8,5.24,7.11,5.16,108.0,100.0,High,44.83
23.0,11.46,9.26,3.04,8.81,114.0,82.74,High,0.0
15.0,4.96,3.28,7.27,6.5,269.0,100.0,Medium,69.27
22.0,2.01,1.43,3.53,5.99,185.0,100.0,Low,38.96
21.0,4.72,4.23,5.97,8.2,246.0,100.0,Medium,51.67
32.0,4.18,1.84,7.44,4.44,155.0,100.0,Low,72.02
22.0,8.62,5.81,7.26,6.08,84.0,100.0,High,69.02
15.0,8.34,4.81,0.46,5.88,24.0,87.4,Medium,0.0
25.0,7.93,2.57,1.65,5.75,139.0,100.0,Medium,11.57
39.0,2.16,0.67,3.82,5.54,238.0,100.0,Low,61.84
39.0,9.29,3.45,3.45,5.05,62.0,100.0,Medium,39.26
32.0,5.24,3.61,5.13,4.86,207.0,100.0,Medium,31.35
37.0,8.65,5.54,7.56,7.2,45.0,100.0,High,82.18
24.0,7.57,4.78,0.9,8.6,286.0,92.97,Medium,9.01
17.0,5.43,1.73,3.61,6.54,181.0,100.0,Low,53.73
21.0,3.35,1.95,1.54,5.49,252.0,95.09,Low,23.3
30.0,2.94,2.51,7.15,4.8,149.0,100.0,Medium,74.33
30.0,10.32,5.56,7.72,8.15,40.0,100.0,High,71.12
39.0,11.18,7.55,3.83,8.86,147.0,99.94,High,24.29
34.0,8.5,6.53,0.83,5.75,95.0,83.58,High,0.0
31.0,3.03,2.33,6.28,5.45,92.0,100.0,Medium,84.38
16.0,6.02,3.68,5.58,7.01,252.0,100.0,Medium,33.92
15.0,9.29,7.57,2.84,7.88,125.0,87.17,High,0.0
30.0,9.8,,7.1,6.28,28.0,100.0,High,63.19
26.0,3.18,2.65,7.81,7.15,138.0,100.0,Medium,87.71
19.0,2.0,0.89,4.46,7.58,69.0,100.0,Low,68.28
19.0,9.12,4.27,4.53,8.8,29.0,100.0,Medium,56.02
37.0,5.57,1.85,2.38,4.83,132.0,100.0,Low,17.04
23.0,4.54,3.53,4.68,8.99,285.0,100.0,Medium,44.6
23.0,2.13,1.17,3.52,5.96,97.0,100.0,Low,51.46
17.0,7.4,3.24,2.42,7.62,55.0,100.0,Medium,38.57
33.0,10.51,4.61,0.54,6.86,221.0,91.26,Medium,0.0
30.0,11.58,9.74,2.02,6.43,137.0,66.21,High,0.0
30.0,7.66,6.13,1.58,7.49,209.0,92.36,High,
17.0,7.14,4.51,4.34,5.98,261.0,100.0,Medium,34.25
34.0,2.85,1.91,4.81,4.63,188.0,100.0,Low,39.42
38.0,7.49,4.38,4.87,6.44,249.0,100.0,Medium,34.46
,5.8,3.1,3.11,6.61,67.0,100.0,Medium,46.44
38.0,8.07,6.85,3.37,5.01,169.0,97.8,High,0.0
15.0,5.89,2.21,6.67,8.68,227.0,100.0,Medium,85.28
38.0,4.4,2.42,3.81,5.14,80.0,100.0,Medium,35.39
34.0,2.95,1.49,7.9,6.05,136.0,100.0,Low,100.0
25.0,5.15,3.08,3.52,4.77,258.0,100.0,Medium,14.4
31.0,2.97,1.71,,6.68,67.0,100.0,Low,51.47
22.0,3.77,2.3,0.4,5.54,264.0,90.99,Medium,11.44
18.0,11.87,4.56,5.23,6.45,24.0,100.0,Medium,44.09
20.0,6.44,3.91,6.81,5.12,119.0,100.0,Medium,48.54
22.0,7.32,3.26,7.54,4.27,224.0,100.0,Medium,59.03
34.0,10.74,4.41,7.98,7.9,199.0,100.0,Medium,93.21
17.0,11.96,4.05,2.26,7.21,36.0,100.0,Medium,25.2
30.0,7.83,5.93,4.6,5.7,109.0,100.0,High,38.44
39.0,10.12,5.63,3.61,4.24,127.0,91.09,High,
17.0,5.27,3.56,4.51,8.33,209.0,100.0,Medium,
39.0,5.06,3.73,1.26,4.85,199.0,80.61,Medium,0.0
32.0,6.03,4.27,6.85,8.65,268.0,100.0,Medium,81.82
28.0,8.73,5.08,7.28,6.39,270.0,100.0,High,67.46
32.0,8.82,4.7,3.6,5.7,39.0,100.0,Medium,15.78
,5.15,2.71,2.24,7.71,116.0,100.0,Medium,40.01
36.0,3.33,2.28,1.13,8.38,241.0,100.0,Medium,29.8
17.0,,4.97,5.47,5.85,163.0,100.0,Medium,48.66
30.0,3.28,2.66,2.5,6.04,26.0,100.0,Medium,21.81
23.0,7.78,6.42,7.28,6.17,287.0,100.0,High,39.61
18.0,8.93,3.59,5.37,8.61,20.0,100.0,Medium,67.91
15.0,9.01,3.44,5.17,7.46,77.0,100.0,Medium,74.22
18.0,9.53,6.46,4.48,5.24,283.0,90.51,High,11.43
15.0,10.73,5.16,0.37,4.92,109.0,88.78,High,0.0
28.0,7.0,2.18,7.46,5.15,94.0,100.0,,83.3
35.0,9.3,7.75,5.02,5.32,280.0,94.61,High,0.0
30.0,8.19,3.57,7.95,5.15,262.0,100.0,Medium,51.97
34.0,3.87,3.32,4.3,,138.0,,Medium,47.13
38.0,2.26,1.65,5.68,4.58,66.0,100.0,Low,67.3
22.0,4.85,3.67,0.45,5.94,187.0,,Medium,1.16
21.0,6.43,2.71,5.05,7.13,46.0,100.0,Medium,63.62
17.0,8.17,3.6,6.12,5.45,20.0,100.0,Medium,76.91
31.0,10.5,6.43,6.23,4.33,193.0,88.0,High,42.23
15.0,3.96,1.6,6.16,4.41,186.0,100.0,Low,57.03
,3.26,1.58,1.81,4.63,37.0,100.0,Low,36.93
26.0,11.63,5.73,7.8,8.18,110.0,100.0,High,92.38
33.0,3.08,1.22,7.96,7.29,221.0,100.0,Low,100.0
36.0,6.78,2.87,0.6,4.32,40.0,98.46,Medium,13.52
37.0,7.86,6.08,7.49,5.96,175.0,100.0,High,49.47
36.0,7.41,2.97,2.32,5.39,33.0,100.0,Medium,12.35
28.0,2.86,0.91,5.51,6.89,39.0,100.0,Low,71.49
20.0,2.57,1.74,2.7,6.61,263.0,100.0,Low,43.52
20.0,3.05,2.7,7.74,6.41,192.0,100.0,Medium,85.03
27.0,7.86,3.92,0.81,5.57,141.0,96.64,,1.05
33.0,7.44,2.76,3.98,4.69,203.0,100.0,Medium,44.18
36.0,4.34,2.79,3.42,7.71,87.0,100.0,Medium,59.52
22.0,8.38,7.07,2.61,8.4,178.0,94.11,High,17.89
16.0,10.2,7.86,5.16,8.72,68.0,98.36,High,37.64
35.0,2.42,1.63,1.05,4.29,200.0,100.0,Low,18.08
15.0,6.98,3.41,5.73,7.7,160.0,100.0,Medium,58.45
29.0,8.89,5.56,7.84,7.63,37.0,100.0,High,71.81
15.0,4.52,1.6,6.44,8.74,159.0,100.0,Low,94.13
19.0,5.08,3.59,6.88,5.26,91.0,100.0,Medium,63.12
30.0,8.14,5.98,2.88,7.71,261.0,86.98,High,0.0
33.0,10.98,9.65,2.6,4.27,280.0,61.74,High,0.0
18.0,10.1,4.61,4.14,7.16,282.0,100.0,Medium,31.28
17.0,7.83,2.44,0.37,5.75,162.0,98.95,Medium,6.69
31.0,9.3,5.83,7.56,7.84,214.0,100.0,High,67.48
31.0,5.65,4.09,1.15,8.32,165.0,100.0,Medium,20.96
26.0,8.41,6.51,7.22,5.82,45.0,100.0,High,59.81
28.0,6.66,2.77,0.67,6.63,78.0,96.19,Medium,21.26
35.0,3.9,1.78,6.58,4.59,71.0,100.0,Low,68.54
20.0,9.02,5.48,1.22,6.08,168.0,81.52,High,6.95
17.0,7.56,3.77,0.31,5.8,126.0,89.67,Medium,13.2
23.0,5.59,4.56,5.76,4.92,78.0,100.0,Medium,43.17
19.0,11.11,6.49,2.24,8.47,277.0,81.59,High,17.01
38.0,2.21,1.72,5.72,4.74,38.0,100.0,Low,67.63
31.0,5.16,3.35,4.44,7.18,185.0,100.0,Medium,59.45
28.0,2.57,1.96,0.87,8.45,44.0,100.0,Low,47.19
35.0,9.67,4.83,7.46,8.56,23.0,,Medium,71.74
17.0,9.02,7.21,3.62,7.97,22.0,100.0,High,31.71
15.0,5.31,2.47,5.88,4.88,46.0,100.0,,62.51
34.0,8.76,5.5,4.01,8.09,238.0,94.29,High,33.31
35.0,5.96,2.55,4.83,5.38,63.0,100.0,Medium,64.03
37.0,9.56,5.6,2.42,8.61,231.0,100.0,High,12.95
15.0,6.54,3.21,1.6,7.55,71.0,100.0,Medium,35.86
17.0,6.12,2.82,4.34,7.93,172.0,100.0,Medium,57.0
32.0,11.35,9.99,3.52,4.43,221.0,69.13,High,0.0
39.0,4.51,1.79,3.12,,30.0,100.0,Low,56.96
24.0,3.2,2.47,5.38,8.11,87.0,100.0,Medium,84.51
36.0,7.85,6.99,5.52,8.31,246.0,96.1,High,34.51
17.0,11.69,3.65,0.37,4.14,140.0,86.52,Medium,0.0
22.0,5.78,4.16,2.71,8.7,34.0,100.0,Medium,33.08
28.0,2.62,1.18,3.29,4.22,76.0,100.0,Low,35.21
38.0,5.39,1.75,0.78,7.07,83.0,100.0,Low,49.41
32.0,7.06,3.82,1.89,7.47,249.0,98.57,Medium,9.48
29.0,3.62,3.12,0.41,4.54,30.0,100.0,Medium,0.0
36.0,8.58,2.63,7.97,4.24,140.0,100.0,Medium,71.81
37.0,11.98,7.82,5.89,7.92,243.0,95.13,High,30.51
16.0,6.52,3.92,0.7,5.92,244.0,92.58,Medium,0.0
24.0,5.55,4.57,0.16,4.54,144.0,94.11,Medium,0.0
16.0,6.01,2.11,5.75,7.81,167.0,100.0,Medium,61.86
31.0,3.15,2.23,3.51,8.25,247.0,100.0,Medium,51.72
22.0,10.83,7.67,6.29,6.94,,100.0,High,24.86
15.0,6.15,4.31,7.39,4.81,29.0,100.0,Medium,71.65
23.0,5.87,5.08,4.79,4.08,73.0,100.0,High,14.04
25.0,8.6,6.83,1.5,7.5,205.0,84.18,High,0.0
36.0,6.42,2.09,6.26,6.75,226.0,100.0,Medium,64.9
30.0,8.48,4.94,7.65,7.25,274.0,100.0,Medium,74.53
,2.61,1.41,4.64,8.07,176.0,100.0,Low,65.49
24.0,10.14,4.93,5.46,6.17,148.0,100.0,Medium,31.07
37.0,11.41,6.51,2.7,4.62,77.0,89.29,High,6.25
